"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.193709649E0,7.170788646E-1,-1.791131854E0,3.031416535E-1
5.210375587E0,-1.888335794E-1,-2.803869247E0,8.771254420E-1
5.227041524E0,-1.440342784E0,-2.950782299E0,1.246851325E0
5.243707462E0,-1.976987481E0,-2.093815327E0,1.792200923E0
5.260373399E0,-1.896811485E0,-1.361083031E0,2.699793339E0
5.277039337E0,-1.726609349E0,-1.022816658E0,3.251938581E0
5.293705274E0,-1.650709391E0,-2.399934977E-1,2.503400326E0
5.310371212E0,-2.152458429E0,1.041906238E0,7.745001912E-1
5.327037149E0,-2.317162752E0,2.662148714E0,-2.689332068E-1
5.343703087E0,-1.248378515E0,3.722151756E0,-4.384481907E-1
5.360369024E0,5.400808454E-1,2.535317898E0,-6.620246768E-1
5.377034962E0,1.696829677E0,9.298889041E-1,-7.704532146E-1
5.393700899E0,1.299309373E0,1.550374866E0,-7.647263408E-1
5.410366837E0,4.463894367E-1,2.986594200E0,-4.875464439E-1
5.427032774E0,9.979239702E-1,2.894277334E0,2.160170525E-1
5.443698712E0,3.413130522E0,1.250363827E0,5.652790070E-1
5.460364649E0,4.998248577E0,1.350392938E0,4.344012141E-1
5.477030587E0,4.304916859E0,3.414428711E0,8.811724186E-2
5.493696524E0,3.475667953E0,4.398608208E0,3.758345544E-1
5.510362462E0,4.036976337E0,2.856251001E0,1.232954144E0
5.527028399E0,4.285903454E0,5.673406720E-1,1.406363487E0
5.543694337E0,3.084256172E0,5.012145638E-1,1.129259944E0
5.560360274E0,4.955640435E-1,1.153007299E-1,9.085086584E-1
5.577026212E0,-1.331456184E0,-8.867465854E-1,7.845794559E-1
5.593692149E0,-1.486844897E0,-1.749898553E0,4.201986194E-1
5.610358087E0,-1.598404050E0,-2.402149439E0,-4.764745384E-2
5.627024024E0,-2.481561899E0,-1.828852773E0,-7.353284955E-1
5.643689962E0,-3.381823778E0,-1.395673275E0,-1.432172418E0
5.660355899E0,-3.403280497E0,-2.527987480E0,-1.483561516E0
5.677021837E0,-2.705443859E0,-3.720548391E0,-1.215849996E0
5.693687774E0,-2.294637203E0,-3.634187222E0,-9.360738993E-1
5.710353712E0,-1.700189352E0,-2.763246775E0,-4.637990892E-1
5.727019649E0,-6.785180569E-1,-4.237721920E0,1.903607398E-1
5.743685587E0,-1.553123742E-1,-4.894172192E0,5.529853702E-1
5.760351524E0,-7.168498039E-1,-3.275991440E0,8.203914165E-1
5.777017462E0,-1.982485294E0,-1.772576928E0,9.114102721E-1
5.793683399E0,-3.013090611E0,-1.009759426E0,7.535017133E-1
5.810349337E0,-3.324860573E0,-7.661771774E-1,3.729329407E-1
5.827015274E0,-3.438099623E0,-5.532144308E-1,-2.733619884E-2
5.843681212E0,-2.148258686E0,1.365435481E0,-1.664606482E-2
5.860347149E0,7.820596099E-1,3.030729294E0,3.399462402E-1
5.877013087E0,2.696662664E0,2.478965521E0,7.356339097E-1
5.893679024E0,2.635270596E0,1.881234407E0,5.343539715E-1
5.910344962E0,1.777616501E0,2.927111387E0,-2.732856274E-1
5.927010899E0,1.844353437E0,4.400822639E0,-3.471239209E-1
5.943676837E0,3.191615820E0,3.519802809E0,3.669770062E-1
5.960342774E0,4.619664669E0,1.896811485E0,7.285326123E-1
5.977008712E0,4.912651062E0,2.405814648E0,6.086503863E-1
5.993674649E0,4.527806282E0,3.751778841E0,5.336667299E-1
6.010340587E0,4.853473186E0,3.243081093E0,1.194698811E0
6.027006524E0,5.225260735E0,1.149036646E0,1.468824387E0
6.043672462E0,3.464519501E0,-9.277509153E-2,1.205847025E0
6.060338399E0,9.422589093E-2,-6.362156868E-1,1.019075155E0
6.077004337E0,-2.316704750E0,-1.067104459E0,9.022472501E-1
